policy,workload,iterations,trial,workers,elapsed_s,throughput,steal_attempts,successful_steals
linear,imbalanced,10000,7,16,1.949,513060,816903,124841
linear,imbalanced,10000,8,1,24.441,40914,0,0
linear,imbalanced,10000,8,2,11.325,88299,244127,244127
linear,imbalanced,10000,8,4,5.492,182082,186667,186667
linear,imbalanced,10000,8,8,2.891,345847,109313,108108
linear,imbalanced,10000,8,16,4.94,202448,9365610,926062
linear,imbalanced,10000,9,1,23.84,41946,0,0
linear,imbalanced,10000,9,2,11.313,88397,244717,244717
linear,imbalanced,10000,9,4,5.526,180956,185412,185409
linear,imbalanced,10000,9,8,2.908,343845,107856,107856
linear,imbalanced,10000,9,16,3.627,275731,5123324,518901
linear,imbalanced,1000,1,1,3.337,299654,0,0
linear,imbalanced,1000,1,2,1.609,621599,207027,207027
linear,imbalanced,1000,1,4,0.835,1197198,166482,166482
linear,imbalanced,1000,1,8,5.502,181763,3988257,847852
linear,imbalanced,1000,1,16,4.783,209053,9759264,920311
linear,imbalanced,1000,10,1,3.412,293044,0,0
linear,imbalanced,1000,10,2,1.633,612217,207242,207242
linear,imbalanced,1000,10,4,0.839,1192565,166325,166325
linear,imbalanced,1000,10,8,5.589,178924,4098589,854649
linear,imbalanced,1000,10,16,4.631,215928,9490356,920654
linear,imbalanced,1000,2,1,3.373,296436,0,0
linear,imbalanced,1000,2,2,1.608,621854,212097,212097
linear,imbalanced,1000,2,4,0.826,1211301,167908,167908
linear,imbalanced,1000,2,8,5.802,172341,4043680,828583
linear,imbalanced,1000,2,16,4.555,219536,9501817,922982
linear,imbalanced,1000,3,1,3.349,298564,0,0
linear,imbalanced,1000,3,2,1.63,613394,210857,210857
linear,imbalanced,1000,3,4,0.835,1197785,167211,167042
linear,imbalanced,1000,3,8,5.686,175860,3834871,807664
linear,imbalanced,1000,3,16,4.539,220306,9412827,922119
linear,imbalanced,1000,4,1,3.329,300417,0,0
linear,imbalanced,1000,4,2,1.62,617430,210602,210602
linear,imbalanced,1000,4,4,0.819,1220278,168795,168795
linear,imbalanced,1000,4,8,5.552,180115,4052779,844209
linear,imbalanced,1000,4,16,4.898,204157,9467851,918822
linear,imbalanced,1000,5,1,3.316,301560,0,0
linear,imbalanced,1000,5,2,1.608,621848,208533,208533
linear,imbalanced,1000,5,4,0.841,1189758,166366,166366
linear,imbalanced,1000,5,8,5.688,175804,4112571,835280
linear,imbalanced,1000,5,16,4.883,204784,10040077,919695
linear,imbalanced,1000,6,1,3.382,295704,0,0
linear,imbalanced,1000,6,2,1.623,616010,210622,210622
linear,imbalanced,1000,6,4,1.015,985055,158236,158235
linear,imbalanced,1000,6,8,0.798,1252994,122346,95947
linear,imbalanced,1000,6,16,4.91,203678,9571905,921745
linear,imbalanced,1000,7,1,3.393,294699,0,0
linear,imbalanced,1000,7,2,1.627,614573,210304,210304
linear,imbalanced,1000,7,4,0.823,1215798,168438,168438
linear,imbalanced,1000,7,8,6.079,164494,4097840,844111
linear,imbalanced,1000,7,16,4.906,203838,9761997,920448
linear,imbalanced,1000,8,1,3.424,292047,0,0
linear,imbalanced,1000,8,2,1.627,614496,212417,212417
linear,imbalanced,1000,8,4,0.839,1191665,166727,166727
linear,imbalanced,1000,8,8,5.819,171850,4115087,845467
linear,imbalanced,1000,8,16,4.567,218974,9512691,921926
linear,imbalanced,1000,9,1,3.305,302544,0,0
linear,imbalanced,1000,9,2,1.592,628338,216217,216217
linear,imbalanced,1000,9,4,0.833,1199985,166343,166335
linear,imbalanced,1000,9,8,5.41,184829,4076839,838763
linear,imbalanced,1000,9,16,4.897,204207,9758047,921934
linear,imbalanced,100,1,1,1.432,698254,0,0
linear,imbalanced,100,1,2,0.722,1384221,124377,122986
linear,imbalanced,100,1,4,5.922,168864,1331977,634074
linear,imbalanced,100,1,8,5.611,178226,3920469,866081
linear,imbalanced,100,1,16,4.619,216519,9323115,924906
linear,imbalanced,100,10,1,1.336,748731,0,0
linear,imbalanced,100,10,2,0.759,1317879,124731,123050
linear,imbalanced,100,10,4,5.801,172382,1345376,617362
linear,imbalanced,100,10,8,5.613,178168,3925637,855228
linear,imbalanced,100,10,16,4.734,211222,9549366,921358
linear,imbalanced,100,2,1,1.373,728303,0,0
linear,imbalanced,100,2,2,0.785,1274147,119401,117201
linear,imbalanced,100,2,4,6.858,145824,1420521,669304
linear,imbalanced,100,2,8,5.648,177043,3822606,855344
linear,imbalanced,100,2,16,4.651,214999,9409472,924328
linear,imbalanced,100,3,1,1.372,728752,0,0
linear,imbalanced,100,3,2,0.76,1315714,113687,112130
linear,imbalanced,100,3,4,5.67,176374,1230262,588158
linear,imbalanced,100,3,8,5.438,183884,3832235,858500
linear,imbalanced,100,3,16,4.586,218041,9314275,923709
linear,imbalanced,100,4,1,1.394,717263,0,0
linear,imbalanced,100,4,2,0.662,1509818,118799,117967
linear,imbalanced,100,4,4,4.608,217035,1104865,509409
linear,imbalanced,100,4,8,5.442,183770,3852512,861709
linear,imbalanced,100,4,16,4.587,217985,9251128,924158
linear,imbalanced,100,5,1,1.424,702358,0,0
linear,imbalanced,100,5,2,0.766,1305008,130668,128828
linear,imbalanced,100,5,4,6.37,156988,1382985,653208
linear,imbalanced,100,5,8,5.673,176283,3978861,858991
linear,imbalanced,100,5,16,4.7,212776,9293433,923151
linear,imbalanced,100,6,1,1.383,723303,0,0
linear,imbalanced,100,6,2,0.836,1196501,125493,122382
linear,imbalanced,100,6,4,6.742,148316,1382638,685750
linear,imbalanced,100,6,8,5.551,180135,3925767,860601
linear,imbalanced,100,6,16,4.696,212929,9054308,922746
linear,imbalanced,100,7,1,1.37,730077,0,0
linear,imbalanced,100,7,2,0.772,1295524,125365,123023
linear,imbalanced,100,7,4,6.278,159278,1407537,655706
linear,imbalanced,100,7,8,5.602,178512,3770012,861495
linear,imbalanced,100,7,16,4.666,214306,9201732,923137
linear,imbalanced,100,8,1,1.443,692830,0,0
linear,imbalanced,100,8,2,0.714,1400733,108032,106897
linear,imbalanced,100,8,4,6.382,156683,1342526,663928
linear,imbalanced,100,8,8,5.082,196762,3876161,858871
linear,imbalanced,100,8,16,4.404,227080,9384601,924610
linear,imbalanced,100,9,1,1.426,701158,0,0
linear,imbalanced,100,9,2,0.917,1090500,112806,109634
linear,imbalanced,100,9,4,5.947,168151,1380211,639082
linear,imbalanced,100,9,8,5.453,183381,3893942,865004
linear,imbalanced,100,9,16,4.665,214376,9244454,919684
random,balanced,10000,1,1,24.433,40928,0,0
random,balanced,10000,1,2,11.657,85782,490,490
random,balanced,10000,1,4,5.735,174355,6403,2473
random,balanced,10000,1,8,2.847,351279,4194,2165
random,balanced,10000,1,16,1.573,635833,226080,46331
random,balanced,10000,10,1,24.499,40817,0,0
random,balanced,10000,10,2,11.719,85332,643,643
random,balanced,10000,10,4,5.737,174321,2313,1619
